"Ana López",ana@email.com,24,avanzado,"javascript,python,kotlin","universidad,tutoriales,amigos"
"Carlos Sánchez",carlos@email.com,31,principiante,"java,c#","universidad,tutoriales"
"Elena Martínez",elena@email.com,27,intermedio,"python,javascript","cursos,amigos"
"Pedro Rodríguez",pedro@email.com,35,experto,"javascript,python,c#","universidad,tutoriales"
"Isabel Pérez",isabel@email.com,26,principiante,"java,go","tutoriales,cursos"
"Manuel Gómez",manuel@email.com,29,avanzado,"python,java,php","universidad,amigos"
"Lucía Torres",lucia@email.com,23,experto,"javascript,c#,go","universidad,tutoriales"
"Diego Ramírez",diego@email.com,30,intermedio,"php,javascript","cursos,amigos"
"Sara García",sara@email.com,28,principiante,"java,python,kotlin","universidad,tutoriales"
"Antonio Fernández",antonio@email.com,32,avanzado,"javascript,c#","universidad,cursos"
"María José Bermudo",mj@email.com,24,principiante,"java,kotlin",amigos
"José Manuel García",jm@email.com,29,intermedio,"php,javascript","cursos,tutoriales"
